mint,reason,score,hypothetical_pnl,price_change_m5,volume_m5,buys_m5,sells_m5,liquidity,fdv,buy_sell_ratio,vol_to_liq,price_change_h24,volume_h24,buys_h24,sells_h24,target
3uJhwWMtXJfzLTZFKBs6MzB7xVKGe8Bbcj2DCEvkpump,FOMO XGBoost low score: 0.6%,0.592607,145.6,21.82,5638.23,64.0,27.0,0.0,17506.53,2.2857142857142856,5638.23,,,,,1
9nQ19kEKYcmtSHZA9hEgxXBkEAGAotgXQFJFBFgUpump,FOMO XGBoost low score: 5.3%,5.34131,1761.21,0.0,0.0,0.0,0.0,2652.52,2245.0,0.0,0.0,,,,,1
8epBCVHVZHdiAYweM9vAF57ngKtGVLC9k7oRTh2pump,FOMO XGBoost low score: 5.3%,5.34131,1682.1,0.0,0.0,0.0,0.0,2863.79,2365.0,0.0,0.0,,,,,1
4KsGXPQ6BZGgCdYVDrqacDUuhFhSf8TKfbjACcApgLPF,FOMO XGBoost low score: 55.7%,55.6573,11419.8,75.53,49630.58,318.0,292.0,23166.2,77180.0,1.0853242320819112,2.142277875617252,,,,,1
AFTo46ckrqtQK3Na8LromV6JJoZbDfZmmrL2o2Q8pump,FOMO XGBoost low score: 1.2%,1.1587,179.895,309.0,39156.74,409.0,358.0,0.0,15275.86,1.139275766016713,39156.74,,,,,1
5cNaeFkSqLGVE3BJufKVAzJtxkH2zHhKu3Ao7PCipump,FOMO XGBoost low score: 5.3%,5.34131,1816.93,0.0,0.0,0.0,0.0,2467.7,2170.0,0.0,0.0,,,,,1
3hyoQKfyQyg1HpxFkvqn5q1Sqt7LqmihF7c4UNBdpump,FOMO XGBoost low score: 74.4%,74.3739,147.45,3.75,34229.93,329.0,78.0,32439.27,154920.0,4.1645569620253164,1.055167851562271,,,,,1
HyYkHRTW7qhZJYXqShxhJ2QFnPAzKCCq3hMgZ2nEpump,FOMO XGBoost low score: 1.0%,1.01877,408.924,78.82,25984.17,400.0,290.0,0.0,20734.24,1.3745704467353952,25984.17,,,,,1
E2q8SfKy4a3Fu97NQqKPzth3TBaBBHCofRNuNmJYpump,FOMO XGBoost low score: 14.4%,14.4238,147.465,-15.59,16470.97,344.0,156.0,9478.61,17360.0,2.1910828025477707,1.7375155728980411,,,,,1
uuxWwFL6G9UjiYRZvWxJrSB18V1oKBgYrmueamREK57,FOMO XGBoost low score: 8.6%,8.58351,2670.83,,,,,47307.8,126507.0,1.0999685138539044,23.599540254667204,-63.28,1116465.93,6987.0,6351.0,1
7RDLLkarA4zZyfCvdvZeEjNHQy2ZzwxMKkH2yBU2pump,FOMO XGBoost low score: 3.3%,3.25327,547.222,-27.18,7724.47,93.0,99.0,0.0,7217.45,0.93,7724.47,,,,,1
EYKzyYrf4q5zGJBszrDGjz2J2LZmGH3x7RXWpmzBpump,FOMO XGBoost low score: 2.2%,2.17688,121.238,-35.58,4028.93,86.0,94.0,0.0,10503.4,0.9052631578947369,4028.93,,,,,1
HSGiunoB6k7SN2G55Ww4Gg16qiUarTg3W32XSKj8pump,FOMO XGBoost low score: 2.8%,2.79694,119.187,24.19,9443.73,86.0,97.0,0.0,19445.76,0.8775510204081632,9443.73,,,,,1
8b8irVTSCj29L4Yf56tg5xjVBHwpV7QkLY6sH3FHpump,FOMO XGBoost low score: 2.3%,2.2734,100.808,312.0,63192.34,889.0,666.0,0.0,21049.99,1.3328335832083957,63192.34,,,,,1
8thd7APG9E1bwQgQ8DxHAA7GvM8cDQVpn6V42pqQpump,FOMO XGBoost low score: 4.9%,4.91056,283.593,18.36,2075.38,18.0,21.0,0.0,17315.79,0.8181818181818182,2075.38,,,,,1
DAqZZvkxcWaR17cWvXoA7n3wKTuDPhUZWQEi6Chhpump,FOMO XGBoost low score: 12.2%,12.1736,185.407,-28.69,8778.98,160.0,104.0,8832.35,14878.0,1.5238095238095237,0.9938449172737409,,,,,1
DWj7vpL1GM7EHg9TretM6JwD4zAsojn3QDYJaupqtKMD,FOMO XGBoost low score: 69.3%,69.341,137.247,12.96,4658.6,32.0,29.0,23975.05,87269.0,1.0666666666666667,0.19430223076778705,,,,,1
6ooVqtJKtWNbxhjEabkxKyH6S2x51bTw4zuVApBcpump,FOMO XGBoost low score: 1.2%,1.20553,309.355,966.0,40869.71,397.0,334.0,0.0,34425.05,1.1850746268656716,40869.71,,,,,1
41UrTGwAokUi5y9qXvHtG82fYsHgCnQE7oFtLhYRwYMP,FOMO XGBoost low score: 18.1%,18.0848,272.897,,,,,26992.53,531097.0,1.0365944734876773,19.531974143433633,43.47,527236.93,1388.0,1338.0,1
3XQkccyAHi3ifYv9kRi5hfcfSpvWcY3xpWBJWpjLpump,FOMO XGBoost low score: 16.6%,16.5589,154.573,,,,,9476.12,16732.0,1.1904,36.485850131685574,-60.92,345780.78,3720.0,3124.0,1
G12htnajjDC4HBUX1aoiVa8MfByD6D5fmSE13JVLpump,FOMO XGBoost low score: 16.3%,16.3484,940.899,,,,,9687.85,17362.0,1.108557457212714,39.178124338801815,-59.21,379590.97,4534.0,4089.0,1
9wajV6qL342kpEaV3J2WXWexeajFFvJVcBXXSLebpump,FOMO XGBoost low score: 19.5%,19.4706,109.307,,,,,12080.68,25475.0,1.041522491349481,2.1203897140132826,-37.68,25617.87,301.0,288.0,1
FYuDikaj6mZ4GyYHEG7yoEpw4TBPVHdZUWEsTJenJrMG,FOMO XGBoost low score: 4.2%,4.17305,149.791,,,,,0.0,7182.3,1.5862068965517242,7000.48,146.0,7000.48,92.0,57.0,1
3ZW6jfWG3KZPYdtjra5CHuaRkwBDFLDA9YQMZLn3sons,FOMO XGBoost low score: 10.7%,10.7151,124.986,,,,,0.0,18492.82,1.2998266897746966,57803.82,434.0,57803.82,750.0,576.0,1
3sF93EX3KJtfLdBVmXMJ4ajYdc3yHfR487h9bLXdpump,FOMO XGBoost low score: 4.3%,4.28664,237.925,,,,,0.0,12341.88,1.2945205479452055,31395.01,134.0,31395.01,378.0,291.0,1
5ajozoHsUvJqRLGkedYQrwyjwrw1gojaQHhzEKAbpump,FOMO XGBoost low score: 6.0%,6.03733,306.899,,,,,0.0,14641.56,1.7033898305084745,25225.78,257.0,25225.78,201.0,117.0,1
3omusX5fZmLiYPBWX2b8yKcRxD9wCGwrYrhM4vVNpump,FOMO XGBoost low score: 29.5%,29.4926,536.389,,,,,14258.26,35896.0,1.0185185185185186,0.38102257760921676,-14.57,5433.1,55.0,53.0,1
CDqub4opUFZwVJQ6x2pYFZjqQa4kk9dYkXCqXL8epump,FOMO XGBoost low score: 8.6%,8.63586,205.102,,,,,0.0,13722.62,1.4064080944350759,58654.25,255.0,58654.25,834.0,592.0,1
97pUtGEzZaSrMoccXikj9R2qgy4qKM5cpt8nYzahpump,FOMO XGBoost low score: 4.2%,4.15216,381.443,,,,,0.0,8703.49,1.7027027027027026,18487.57,72.04,18487.57,252.0,147.0,1
7GEboBozSoCYhb9LTiL7M8UvZFnv6XdWqUcVjbX7pump,FOMO XGBoost low score: 3.3%,3.25456,244.007,,,,,0.0,12186.25,1.7053571428571428,19404.15,118.0,19404.15,191.0,111.0,1
AwdTBWtcizdLWkbSrbqa71BBpeL1mu5ekjpv77B6pump,FOMO XGBoost low score: 7.9%,7.8926,269.523,,,,,0.0,12370.62,1.482490272373541,32720.11,257.0,32720.11,381.0,256.0,1
PerPsCe2SJ7Q25CN4R5TTX4fmBdmknE2hQmqCt96fHL,FOMO XGBoost low score: 6.3%,6.3003,121.341,,,,,128852.45,1685753.0,1.0067911714770799,7.711702946254059,22.95,993679.53,3558.0,3533.0,1
