token,age_hours,market_cap,liquidity_usd,volume_24h,holders,is_moonshot,chain,entry_price,current_price,top_10_holders_pct,is_liquidity_locked,dev_holding_pct,tx_velocity_1m,has_socials,funded_from_cex,label,liquidity_to_mc_ratio,volume_to_liq_ratio
dogwifhat (WIF),0,50000.0,15000.0,5000.0,50,True,solana,1e-05,5e-05,19.9816047538945,1,3.0910903165813055,46.06867547877934,0,0,1,0.2999940001199976,0.33331111259249385
dogwifhat (WIF),1,120000.0,30000.0,45000.0,150,True,solana,1e-05,0.00012,43.02857225639664,1,0.5056133806139512,60.36762981773961,0,0,1,0.24999791668402763,1.4999500016666112
dogwifhat (WIF),6,80000.0,25000.0,120000.0,400,True,solana,1e-05,8e-05,34.279757672456206,1,0.42053403057498717,23.971622133764125,1,0,1,0.31249609379882753,4.799808007679693
dogwifhat (WIF),24,500000.0,100000.0,800000.0,1500,True,solana,1e-05,0.0005,28.946339367881464,1,3.5048456572955997,26.3735317445744,1,0,1,0.1999996000008,7.999920000799992
dogwifhat (WIF),48,2500000.0,400000.0,3000000.0,5000,True,solana,1e-05,0.0025,11.24074561769746,1,0.36381503182096764,87.56070589121656,0,0,1,0.1599999360000256,7.499981250046875
dogwifhat (WIF),168,15000000.0,2000000.0,15000000.0,25000,True,solana,1e-05,0.015,11.239780813448107,1,4.1093002964517815,95.15039159202695,1,0,1,0.13333332444444504,7.499996250001875
book of meme (BOME),0,100000.0,40000.0,20000.0,200,True,solana,1e-05,0.0001,7.323344486727978,0,3.531211135782481,43.597838465177766,0,0,1,0.3999960000399996,0.4999875003124922
book of meme (BOME),1,1500000.0,300000.0,2000000.0,2000,True,solana,1e-05,0.0015,39.647045830997406,1,0.4067439032094988,34.36702058291984,1,0,1,0.19999986666675557,6.666644444518519
book of meme (BOME),6,8000000.0,1000000.0,15000000.0,10000,True,solana,1e-05,0.008,29.04460046972835,0,0.4241885704259596,67.95995889151142,1,0,1,0.12499998437500195,14.999985000015
book of meme (BOME),24,25000000.0,3000000.0,40000000.0,30000,True,solana,1e-05,0.025,33.32290311184182,0,4.933197892505877,46.78607539882868,1,0,1,0.1199999952000002,13.333328888890371
book of meme (BOME),48,40000000.0,5000000.0,60000000.0,45000,True,solana,1e-05,0.04,5.823379771832098,1,1.8713539787806015,12.284772009431038,1,0,1,0.12499999687500007,11.99999760000048
myro (MYRO),0,30000.0,10000.0,2000.0,30,True,solana,1e-05,3.0000000000000004e-05,43.79639408647977,1,1.8532107353344545,24.053733762957133,1,0,1,0.33332222259258026,0.1999800019998
myro (MYRO),6,150000.0,40000.0,50000.0,300,True,solana,1e-05,0.00015,38.29770563201687,1,4.063997836287513,74.43750059626578,1,0,1,0.26666488890074064,1.2499687507812305
myro (MYRO),24,800000.0,150000.0,400000.0,1200,True,solana,1e-05,0.0008,13.493564427131046,1,4.736242886919293,69.30315477191363,1,0,1,0.18749976562529297,2.6666488890074067
myro (MYRO),48,3000000.0,500000.0,2000000.0,4000,True,solana,1e-05,0.003,12.272998688284025,1,4.930005319114354,12.438639325313513,0,0,1,0.16666661111112963,3.999992000016
myro (MYRO),168,12000000.0,1500000.0,8000000.0,15000,True,solana,1e-05,0.012,12.336180394137353,1,3.766890926294708,29.97749457396545,1,0,1,0.1249999895833342,5.333329777780148
SCAM_0000,35,8537.077650749387,1001.089253522126,828.6509390604905,57,False,solana,1e-05,8.537077650749386e-06,17.16968971838151,1,7.035649452408075,5.1892379723333315,1,0,0,0.11724995888673612,0.8269232866712845
SCAM_0001,3,12257.966941729655,1336.9637504887562,502.03392341039057,77,False,solana,1e-05,1.2257966941729658e-05,25.990257265289515,1,8.05718278368664,4.542326980740836,0,1,0,0.10906006654914104,0.375222365499064
SCAM_0002,25,8159.0546076404335,1679.31512098013,500.0,32,False,solana,1e-05,8.159054607640434e-06,22.27780074568463,0,9.919154567690162,15.812104997768312,0,1,0,0.20579704447170627,0.29756323308472604
SCAM_0003,24,3000.0,1000.0,500.0,61,False,solana,1e-05,3e-06,16.649165607921677,1,8.213627465191113,7.652379924167872,0,0,0,0.3332222592469177,0.4995004995004995
SCAM_0004,40,3000.0,1112.474469868297,719.4755062021962,25,False,solana,1e-05,3e-06,29.47411578889518,0,8.731340481026116,2.099010854704531,0,1,0,0.370701256204031,0.6461535721490737
SCAM_0005,1,19083.253772703727,5297.085434520492,768.0294361155994,92,False,solana,1e-05,1.9083253772703728e-05,10.579754426081674,0,10.701903373876942,19.412949972675417,0,1,0,0.2775631417193231,0.14496358082702582
SCAM_0006,42,7520.167660803887,1089.2071694153203,532.3169838118304,40,False,solana,1e-05,7.520167660803887e-06,16.685785941408724,1,8.467471905895096,17.791931814305087,0,0,0,0.1448188922966919,0.4882714026704784
SCAM_0007,27,5320.403427991795,1000.0,1190.7248063553066,29,False,solana,1e-05,5.320403427991796e-06,19.654473731747668,0,22.935308492528502,18.627293380709048,0,0,0,0.18792035099984566,1.1895352710842224
SCAM_0008,7,8555.634713578089,3013.7283503089093,715.8113220706721,91,False,solana,1e-05,8.55563471357809e-06,23.24279936868144,1,6.604674913232844,19.90324863028227,0,0,0,0.35220953694874657,0.23743808359958046
SCAM_0009,44,10100.133124638278,2802.319719516996,1306.8689280337808,66,False,solana,1e-05,1.0100133124638278e-05,36.407038455720546,1,15.490227791405093,4.304009735170259,0,0,0,0.27742627336349923,0.4661861859477629
SCAM_0010,29,26117.256318208067,2908.5069402245335,2803.259417401934,22,False,solana,1e-05,2.6117256318208067e-05,12.986951286334389,1,13.20793653979323,8.528598359150516,0,0,0,0.11135915448524406,0.9634826364035413
SCAM_0011,28,6475.950324774754,1000.0,500.0,37,False,solana,1e-05,6.475950324774755e-06,25.569377536544465,1,24.64757233817213,15.406531038377734,0,1,0,0.15439364976676373,0.4995004995004995
SCAM_0012,37,9001.105043891861,1000.0,914.5772165485312,44,False,solana,1e-05,9.001105043891861e-06,28.6965827544817,0,7.240778043361047,14.224391743022052,0,0,0,0.11108512899197098,0.9136635529955356
SCAM_0013,44,6663.489984563396,4487.227348015013,1304.393510284288,56,False,solana,1e-05,6.663489984563397e-06,6.858016508799909,1,12.957111980914833,3.924022220457246,0,1,0,0.6733039374968737,0.2906255430356432
SCAM_0014,27,73815.46229062261,17143.00946094327,7239.037707826643,62,False,solana,1e-05,7.381546229062262e-05,29.301794076057533,1,24.38940866550738,16.500829374821738,0,0,0,0.23223829656655137,0.42224881666790376
SCAM_0015,40,22552.022055941372,5691.9485384166965,1025.1306777310265,35,False,solana,1e-05,2.2552022055941373e-05,11.82096494749166,1,22.310142517879605,5.264370864896552,0,1,0,0.25238074632739554,0.18007025196404328
SCAM_0016,26,13564.11395634271,1614.5617897364798,900.066810882323,38,False,solana,1e-05,1.356411395634271e-05,7.602063719411181,1,21.3414414189856,5.252534681629839,1,0,0,0.11902309077039128,0.5571231113538134
SCAM_0017,7,31999.80995418198,7685.907154135682,2776.7246050539493,12,False,solana,1e-05,3.199980995418198e-05,42.95542149013333,1,10.158056540898796,11.202514034974858,0,1,0,0.24017851939185872,0.36122780584906977
